make,model,year,price,mileage,overall_rating,complaint_count,reliability_score,age,depreciation_rate,fuel_type,engine,transmission,accident,clean_title
PORSCHE,911 CARRERA,2020,114998.0,23278.0,3.0,0.0,1.0,4,0.6,Gasoline,3.0 Liter,Automatic,None reported,
MERCEDES-BENZ,E-CLASS 400E,1993,15300.0,106983.0,3.0,0.0,1.0,31,4.6499999999999995,–,–,4-Speed A/T,None reported,Yes
BMW,435 GRAN COUPE I,2015,24995.0,60100.0,3.0,0.0,1.0,9,1.35,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,Yes
JEEP,WAGONEER SERIES III,2022,69685.0,17381.0,3.0,0.0,1.0,2,0.3,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,Yes
CADILLAC,ATS 2.5L,2013,12995.0,63172.0,5.0,0.0,1.0,11,1.65,Gasoline,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
FORD,TRANSIT CONNECT XLT,2010,10900.0,72000.0,3.0,0.0,1.0,14,2.1,Gasoline,136.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
KIA,EV6 GT-LINE,2022,47500.0,4820.0,3.0,0.0,1.0,2,0.3,,320.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,Yes
AUDI,S5 3.0T PREMIUM PLUS,2014,25990.0,67900.0,3.0,0.0,1.0,10,1.5,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,,
TOYOTA,TUNDRA SR,2018,38000.0,51000.0,4.0,66.0,0.9549795361527968,6,0.8999999999999999,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
JEEP,WRANGLER UNLIMITED FREEDOM EDITION,2013,35000.0,54500.0,3.0,0.0,1.0,11,1.65,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
MASERATI,QUATTROPORTE BASE,2006,16500.0,61840.0,3.0,0.0,1.0,18,2.6999999999999997,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,Yes
MERCEDES-BENZ,CLS-CLASS CLS500,2006,16750.0,28950.0,3.0,0.0,1.0,18,2.6999999999999997,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,,
GMC,SIERRA 3500 SLE,2002,5000.0,300000.0,3.0,0.0,1.0,22,3.3,Diesel,300.0HP 6.6L 8 Cylinder Engine Diesel Fuel,5-Speed A/T,At least 1 accident or damage reported,Yes
NISSAN,FRONTIER SL,2011,17000.0,103400.0,3.0,0.0,1.0,13,1.95,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,At least 1 accident or damage reported,Yes
BMW,M5 BASE,2023,109900.0,816.0,3.0,0.0,1.0,1,0.15,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,
